Name,Year,min_players,max_players,min_playtime,max_playtime,min_age,category,mechanic,userrated,avg_rate,rank,owned,trading,wanting,wishing,num_comments,num_weights,avg_weight
Mare Nostrum: Empires,2016,3,5,90,120,14,"['Ancient', 'Civilization', 'Economic', 'Mythology', 'Wargame']","['Area Movement', 'Dice Rolling', 'Set Collection', 'Trading', 'Variable Player Powers']",4035,7.5294,642,6175,176,180,1112,909,134,2.9627
Tigris & Euphrates,1997,2,4,90,90,12,"['Abstract Strategy', 'Ancient', 'Civilization', 'Territory Building']","['Area Majority / Influence', 'Connections', 'Hand Management', 'Hidden Victory Points', 'Highest-Lowest Scoring', 'Income', 'Set Collection', 'Square Grid', 'Tile Placement']",28102,7.70346,104,30822,598,1508,7276,6999,2745,3.5016
Core Space,2019,1,6,45,180,14,"['Adventure', 'Exploration', 'Fighting', 'Miniatures', 'Science Fiction']","['Action Points', 'Cooperative Game', 'Dice Rolling', 'Die Icon Resolution', 'Grid Movement', 'Measurement Movement', 'Modular Board', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Semi-Cooperative Game', 'Solo / Solitaire Game', 'Variable Player Powers', 'Variable Set-up']",955,8.66967,1883,1956,14,167,913,420,30,3
The New Era,2011,2,5,60,60,10,"['Card Game', 'City Building', 'Economic', 'Science Fiction']","['Hand Management', 'Open Drafting', 'Turn Order: Progressive', 'Variable Player Powers']",1300,7.48666,1733,1678,111,71,403,311,114,3.4561
Machi Koro Legacy,2019,2,4,30,45,10,"['City Building', 'Dice']","['Dice Rolling', 'Legacy Game', 'Random Production']",2231,6.9216,1792,5777,71,110,1097,451,40,1.925
Great Western Trail,2016,2,4,75,150,12,"['American West', 'Animals', 'Economic']","['Deck, Bag, and Pool Building', 'Hand Management', 'Ownership', 'Set Collection', 'Track Movement', 'Variable Set-up']",39122,8.22117,15,43978,515,1271,9992,5009,1521,3.7068
Vagrantsong,2022,2,4,45,120,14,"['Adventure', 'Dice', 'Horror', 'Trains']","['Action Points', 'Cooperative Game', 'Dice Rolling', 'Events', 'Grid Movement', 'Narrative Choice / Paragraph', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Storytelling', 'Variable Set-up']",1569,7.67456,1357,4688,97,454,3258,426,67,3.2388
Archaeology: The Card Game,2007,2,4,20,20,8,"['Adventure', 'Ancient', 'Card Game', 'Exploration']","['Market', 'Open Drafting', 'Push Your Luck', 'Set Collection']",3208,6.65943,1945,3768,151,95,429,1072,238,1.3403
The Isle of Cats,2019,1,4,60,90,8,"['Animals', 'Fantasy', 'Nautical', 'Puzzle']","['Closed Drafting', 'Grid Coverage', 'Hidden Victory Points', 'Income', 'Open Drafting', 'Pattern Building', 'Set Collection', 'Solo / Solitaire Game', 'Square Grid', 'Tile Placement', 'Turn Order: Stat-Based']",19443,7.73945,118,33713,327,668,6512,3061,464,2.3513
Ticket to Ride: Märklin,2006,2,5,30,60,8,"['Trains', 'Transportation']","['Hand Management', 'Network and Route Building', 'Open Drafting', 'Point to Point Movement', 'Set Collection']",9103,7.41214,401,11632,170,450,1689,2193,853,2.2427
Treasure Island,2018,2,5,45,45,10,"['Bluffing', 'Deduction', 'Exploration', 'Novel-based', 'Pirates']","['Deduction', 'Hand Management', 'Line Drawing', 'Measurement Movement', 'Secret Unit Deployment', 'Semi-Cooperative Game', 'Storytelling', 'Team-Based Game', 'Variable Player Powers']",5954,7.24265,699,10466,206,432,3432,928,107,2.243
FUSE,2015,1,5,10,10,10,"['Action / Dexterity', 'Dice', 'Real-time', 'Science Fiction']","['Cooperative Game', 'Dice Rolling', 'Die Icon Resolution', 'Elapsed Real Time Ending', 'Open Drafting', 'Pattern Building', 'Real-Time', 'Solo / Solitaire Game']",8491,7.00817,818,12716,329,227,1741,1644,163,1.6564
Clank! Legacy: Acquisitions Incorporated,2019,2,4,90,120,13,"['Adventure', 'Fantasy', 'Miniatures']","['Deck, Bag, and Pool Building', 'Delayed Purchase', 'End Game Bonuses', 'Events', 'Legacy Game', 'Map Addition', 'Movement Points', 'Narrative Choice / Paragraph', 'Once-Per-Game Abilities', 'Open Drafting', 'Pick-up and Deliver', 'Player Elimination', 'Point to Point Movement', 'Push Your Luck', 'Scenario / Mission / Campaign Game', 'Set Collection', 'Variable Player Powers', 'Variable Set-up']",8423,8.56096,24,15280,87,624,5494,1312,124,2.7339
Age of Empires III: The Age of Discovery,2007,2,5,90,120,10,"['Civilization', 'Exploration', 'Renaissance', 'Video Game Theme']","['Area Majority / Influence', 'Set Collection', 'Turn Order: Claim Action', 'Worker Placement', 'Worker Placement, Different Worker Types']",10202,7.51547,296,8535,260,406,2244,2640,1057,3.1258
Ave Caesar,1989,2,6,30,30,12,"['Ancient', 'Miniatures', 'Racing']","['Hand Management', 'Race', 'Track Movement']",4723,6.63295,1671,4687,124,270,860,1576,459,1.3595
ICECOOL2,2018,2,4,30,30,6,"['Action / Dexterity', 'Animals', ""Children's Game""]","['Area Movement', 'Flicking', 'Take That']",1702,7.17994,1707,4093,42,157,712,342,26,1.0769
Odin's Ravens,2002,2,2,30,30,10,"['Animals', 'Card Game', 'Mythology']","['Hand Management', 'Map Addition', 'Race', 'Track Movement']",3817,6.66069,1806,5108,189,205,791,1410,390,1.6795
Calimala,2017,3,5,75,75,10,"['Economic', 'Industry / Manufacturing', 'Medieval', 'Renaissance', 'Transportation', 'Travel']","['Area Majority / Influence', 'End Game Bonuses', 'Modular Board', 'Order Counters', 'Variable Set-up', 'Worker Placement']",2238,7.20232,1368,2635,89,222,959,519,70,2.7857
The Speicherstadt,2010,2,5,45,45,8,['Economic'],"['Auction/Bidding', 'Auction: Dutch Priority', 'Set Collection']",5049,7.02064,1008,4954,173,165,674,1251,361,2.2687
Fields of Fire,2008,1,1,60,300,12,"['Korean War', 'Vietnam War', 'Wargame', 'World War II']","['Campaign / Battle Card Driven', 'Modular Board', 'Solo / Solitaire Game']",1263,7.86399,1521,3629,97,190,942,637,241,4.2407
Puerto Rico,2002,3,5,90,150,12,"['City Building', 'Economic', 'Farming']","['Action Drafting', 'End Game Bonuses', 'Follow', 'Hidden Victory Points', 'Increase Value of Unchosen Resources', 'Turn Order: Progressive', 'Variable Phase Order']",69567,7.92791,41,80078,1432,961,9617,12683,6185,3.2719
The Godfather: Corleone's Empire,2017,2,5,60,90,14,"['Economic', 'Mafia', 'Movies / TV / Radio theme']","['Area Majority / Influence', 'Auction/Bidding', 'Hand Management', 'Memory', 'Open Drafting', 'Take That', 'Variable Player Powers', 'Worker Placement', 'Worker Placement, Different Worker Types']",7376,7.52891,394,10881,295,227,2002,1217,182,2.6264
Exodus: Proxima Centauri,2012,2,6,180,180,14,"['Civilization', 'Fighting', 'Science Fiction', 'Space Exploration', 'Wargame']","['Area Majority / Influence', 'Area Movement', 'Auction/Bidding', 'Dice Rolling', 'Follow', 'Hexagon Grid', 'Modular Board', 'Simultaneous Action Selection', 'Take That', 'Tech Trees / Tech Tracks', 'Trading', 'Voting']",1697,7.15925,1795,3233,174,217,1214,577,108,3.5926
Dominant Species,2010,2,6,120,240,14,"['Animals', 'Environmental', 'Prehistoric']","['Action Queue', 'Area Majority / Influence', 'End Game Bonuses', 'Grid Movement', 'Hexagon Grid', 'Map Addition', 'Open Drafting', 'Take That', 'Tile Placement', 'Turn Order: Claim Action', 'Variable Player Powers', 'Worker Placement']",20568,7.82161,88,22614,436,1112,7053,4301,1567,4.0396
Khôra: Rise of an Empire,2021,2,4,75,75,14,"['Ancient', 'City Building', 'Economic']","['Dice Rolling', 'Income', 'Investment', 'Open Drafting', 'Race', 'Simultaneous Action Selection']",3185,7.45359,855,5191,71,206,1396,531,116,2.75
Genoa,2001,2,5,60,120,12,"['Negotiation', 'Renaissance']","['Auction/Bidding', 'Bribery', 'Dice Rolling', 'Grid Movement', 'Negotiation', 'Pick-up and Deliver', 'Set Collection', 'Trading']",6116,7.0494,932,7657,390,324,1141,2107,672,3.0744
The Networks,2016,1,5,60,90,13,"['Economic', 'Humor', 'Movies / TV / Radio theme']","['End Game Bonuses', 'Income', 'Open Drafting', 'Set Collection', 'Solo / Solitaire Game', 'Turn Order: Stat-Based']",6343,7.16426,737,9871,278,423,2178,1349,121,2.5868
Ubongo 3D,2009,2,4,30,30,10,"['Puzzle', 'Real-time']","['Grid Coverage', 'Real-Time']",1877,7.08538,1750,2550,36,76,336,369,94,1.9362
Patchistory,2013,2,4,60,120,12,"['Bluffing', 'City Building', 'Civilization', 'Economic', 'Negotiation', 'Political', 'Territory Building']","['Action Points', 'Alliances', 'Auction/Bidding', 'Grid Movement', 'Income', 'Layering', 'Open Drafting', 'Simultaneous Action Selection', 'Tile Placement', 'Track Movement', 'Voting', 'Worker Placement']",2152,7.08409,1577,3231,247,102,558,564,157,3.7643
Maquis,2013,1,1,30,30,14,"['Print & Play', 'World War II']","['Solo / Solitaire Game', 'Worker Placement']",3334,7.45203,828,7615,95,203,1633,1034,128,2.2031
Merlin,2017,2,4,75,75,14,['Medieval'],"['Area Majority / Influence', 'Roll / Spin and Move', 'Rondel', 'Set Collection', 'Worker Placement']",3561,7.12952,1117,5078,105,313,1376,742,123,3.0813
De Vulgari Eloquentia,2010,2,5,120,120,14,"['Medieval', 'Religious', 'Travel']","['Action Points', 'Area Movement', 'Set Collection']",1974,7.21853,1487,3082,183,93,457,566,202,3.6238
Planted: A Game of Nature & Nurture,2022,2,5,20,30,10,['Environmental'],"['Closed Drafting', 'End Game Bonuses', 'Hand Management', 'Set Collection', 'Simultaneous Action Selection']",1324,7.33494,1903,3558,31,186,1488,271,24,1.625
Carnegie,2022,1,4,90,120,12,"['Economic', 'Industry / Manufacturing', 'Post-Napoleonic']","['Action Retrieval', 'Area Movement', 'Connections', 'End Game Bonuses', 'Follow', 'Grid Movement', 'Income', 'Movement Points', 'Network and Route Building', 'Resource to Move', 'Solo / Solitaire Game', 'Square Grid', 'Tech Trees / Tech Tracks', 'Turn Order: Progressive', 'Variable Phase Order', 'Worker Placement, Different Worker Types']",7288,8.04809,117,10205,79,554,3298,1189,388,3.8222
The Oracle of Delphi,2016,2,4,70,100,12,"['Ancient', 'Mythology', 'Nautical']","['Action Points', 'Dice Rolling', 'Grid Movement', 'Modular Board', 'Pick-up and Deliver', 'Push Your Luck', 'Race', 'Variable Player Powers']",5038,7.29371,695,6686,136,319,1274,1019,141,3.0142
Stronghold: 2nd edition,2015,2,2,90,90,10,"['Fantasy', 'Fighting', 'Medieval']","['Action Points', 'Area Majority / Influence', 'Point to Point Movement', 'Variable Player Powers']",1695,7.46082,1421,3663,130,231,1378,421,67,3.7313
Unlock!: Escape Adventures – Squeek & Sausage,2017,1,6,45,75,10,"['Card Game', 'Puzzle']","['Cooperative Game', 'Elapsed Real Time Ending', 'Solo / Solitaire Game', 'Storytelling']",2969,7.16293,1166,4309,220,52,192,552,35,2.0857
Distilled,2023,1,5,30,150,14,"['Card Game', 'Economic', 'Industry / Manufacturing']","['Hand Management', 'Income', 'Market', 'Push Your Luck', 'Set Collection']",2721,7.99493,597,5982,39,315,2169,610,159,2.9245
Caylus 1303,2019,2,5,60,90,12,"['City Building', 'Economic', 'Medieval']","['Action Queue', 'Ownership', 'Take That', 'Turn Order: Claim Action', 'Turn Order: Pass Order', 'Variable Player Powers', 'Variable Set-up', 'Worker Placement']",2756,7.48288,943,5218,133,244,1152,519,114,2.886
The Thing: The Boardgame,2022,1,8,60,90,14,"['Horror', 'Movies / TV / Radio theme', 'Science Fiction']","['Hidden Roles', 'Semi-Cooperative Game', 'Traitor Game', 'Voting']",1720,7.70888,1283,3877,26,141,1208,400,68,2.9559
Islebound,2016,2,4,60,120,13,"['Fantasy', 'Nautical', 'Pirates']","['Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'End Game Bonuses', 'Increase Value of Unchosen Resources', 'Modular Board', 'Ownership', 'Pick-up and Deliver', 'Push Your Luck', 'Worker Placement']",3546,7.16943,1060,6646,212,319,1826,821,85,2.7176
Liberty or Death: The American Insurrection,2016,1,4,180,360,14,"['Age of Reason', 'American Revolutionary War', 'Political', 'Wargame']","['Area Majority / Influence', 'Dice Rolling', 'Simulation', 'Solo / Solitaire Game', 'Variable Phase Order', 'Variable Player Powers']",1465,7.79167,1301,4126,89,282,993,478,131,4.084
Insider,2016,4,8,15,15,9,"['Bluffing', 'Deduction', 'Party Game', 'Word Game']","['Hidden Roles', 'Team-Based Game', 'Voting']",3886,7.05412,1132,6936,101,180,1684,686,63,1.127
Claim,2017,2,2,25,25,10,"['Card Game', 'Fantasy']","['Area Majority / Influence', 'Auction/Bidding', 'Auction: Once Around', 'Trick-taking']",4416,6.96908,1210,10093,178,137,986,762,98,1.7041
CO₂,2012,1,5,120,120,12,"['Economic', 'Environmental', 'Industry / Manufacturing']","['Area Majority / Influence', 'Open Drafting', 'Semi-Cooperative Game', 'Solo / Solitaire Game', 'Worker Placement']",3894,7.10889,1068,4314,207,289,1494,984,325,3.8738
Raccoon Tycoon,2018,2,5,60,90,8,"['Animals', 'Economic']","['Auction/Bidding', 'Auction: Turn Order Until Pass', 'Commodity Speculation', 'Market', 'Set Collection']",4143,7.30433,834,8178,199,206,1423,846,75,2.1467
Tapestry,2019,1,5,90,120,12,['Civilization'],"['Area Majority / Influence', 'Contracts', 'Dice Rolling', 'Events', 'Grid Coverage', 'Hand Management', 'Hexagon Grid', 'Income', 'Map Addition', 'Once-Per-Game Abilities', 'Open Drafting', 'Push Your Luck', 'Solo / Solitaire Game', 'Square Grid', 'Take That', 'Tech Trees / Tech Tracks', 'Tile Placement', 'Variable Player Powers', 'Variable Set-up']",18892,7.44478,271,25664,367,671,6349,3092,710,2.9254
Roll Through the Ages: The Bronze Age,2008,1,4,30,45,8,"['Ancient', 'City Building', 'Civilization', 'Dice']","['Contracts', 'Dice Rolling', 'Die Icon Resolution', 'Events', 'Paper-and-Pencil', 'Push Your Luck', 'Re-rolling and Locking', 'Solo / Solitaire Game']",12018,6.85628,898,13513,401,324,1546,2920,855,1.7813
Kamisado,2008,2,2,20,20,10,['Abstract Strategy'],"['Grid Movement', 'Slide/Push', 'Square Grid']",2503,6.93835,1677,3443,76,100,664,603,132,2.3939
Bob Ross: Art of Chill Game,2017,2,4,30,30,12,"['Card Game', 'Movies / TV / Radio theme']","['Action Points', 'Dice Rolling', 'Hand Management', 'Open Drafting', 'Set Collection']",2583,6.76136,1993,5792,218,36,424,653,42,1.7619
Lanterns: The Harvest Festival,2015,2,4,30,30,8,[],"['Hand Management', 'Pattern Building', 'Set Collection', 'Tile Placement']",11158,6.8754,942,18944,405,271,2006,2035,257,1.5486
BattleLore: Second Edition,2013,2,2,45,90,14,"['Fantasy', 'Miniatures', 'Wargame']","['Campaign / Battle Card Driven', 'Command Cards', 'Dice Rolling', 'Grid Movement', 'Modular Board', 'Secret Unit Deployment', 'Variable Player Powers']",6268,7.68323,346,10005,306,372,2475,1346,302,2.702
Axis & Allies: 1942,2009,2,5,240,240,12,"['Economic', 'Wargame', 'World War II']","['Area Movement', 'Dice Rolling', 'Simulation', 'Team-Based Game']",2721,6.92162,1955,6209,295,43,327,682,196,3.148
Dice Throne: Season Two – Battle Chest,2018,2,6,20,40,8,"['Card Game', 'Dice', 'Fantasy', 'Fighting']","['Dice Rolling', 'Take That', 'Team-Based Game', 'Variable Player Powers']",4153,8.08881,294,8497,72,229,1272,679,72,2.1389
Marvel: Crisis Protocol,2019,2,2,45,45,14,"['Comic Book / Strip', 'Miniatures', 'Wargame']","['Dice Rolling', 'Measurement Movement', 'Variable Player Powers']",876,8.32098,1823,2528,30,80,352,177,10,3
Faiyum,2020,1,5,110,140,12,"['Ancient', 'City Building', 'Economic', 'Farming']","['Action Retrieval', 'Deck, Bag, and Pool Building', 'Hand Management', 'Hexagon Grid', 'Network and Route Building', 'Open Drafting', 'Solo / Solitaire Game', 'Worker Placement']",2089,7.51187,1122,3089,61,313,1324,427,105,3.0857
Age of Steam,2002,1,6,120,120,13,"['Economic', 'Trains', 'Transportation']","['Auction/Bidding', 'Catch the Leader', 'Connections', 'Dice Rolling', 'Loans', 'Network and Route Building', 'Pick-up and Deliver', 'Player Elimination', 'Scenario / Mission / Campaign Game', 'Selection Order Bid', 'Tile Placement', 'Turn Order: Auction', 'Victory Points as a Resource']",10739,7.8376,120,12047,240,544,2835,3074,996,3.8835
The Lord of the Rings: The Card Game,2011,1,2,30,60,13,"['Adventure', 'Card Game', 'Collectible Components', 'Fantasy', 'Novel-based']","['Cooperative Game', 'Deck Construction', 'Events', 'Hand Management', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Variable Set-up']",23695,7.66053,151,36616,1001,380,3696,4741,1433,3.2066
Pendragon: The Fall of Roman Britain,2017,1,4,60,360,16,"['Ancient', 'Medieval', 'Political', 'Wargame']","['Action/Event', 'Alliances', 'Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'Events', 'Income', 'Simulation', 'Solo / Solitaire Game', 'Variable Player Powers', 'Variable Set-up']",1025,7.91494,1663,3343,54,235,1096,378,117,4.5043
Mechs vs. Minions,2016,2,4,60,120,14,"['Fantasy', 'Fighting', 'Miniatures', 'Video Game Theme']","['Action Queue', 'Bias', 'Cooperative Game', 'Dice Rolling', 'Modular Board', 'Open Drafting', 'Programmed Movement', 'Role Playing', 'Slide/Push', 'Variable Player Powers']",16953,7.9825,68,23651,347,1065,7834,2645,308,2.4318
Legends of Andor,2012,2,4,60,90,10,"['Adventure', 'Fantasy', 'Fighting', 'Puzzle']","['Area Movement', 'Cooperative Game', 'Dice Rolling', 'Scenario / Mission / Campaign Game', 'Variable Player Powers']",18454,7.12836,544,32006,816,467,4097,3173,771,2.7626
Beast,2023,2,4,60,120,14,"['Deduction', 'Fantasy', 'Fighting', 'Horror']","['Action Drafting', 'Closed Drafting', 'Hand Management', 'Hidden Movement', 'Point to Point Movement', 'Secret Unit Deployment', 'Team-Based Game', 'Variable Player Powers']",1731,7.67106,1386,4608,45,266,2264,382,73,2.9041
Colosseum,2007,3,5,60,90,10,"['Ancient', 'Negotiation']","['Auction/Bidding', 'Dice Rolling', 'Roll / Spin and Move', 'Set Collection', 'Trading']",8893,7.21042,586,10142,257,615,2428,2418,746,2.756
Roll Player Adventures,2021,1,4,90,150,14,"['Adventure', 'Dice', 'Exploration', 'Fantasy']","['Campaign / Battle Card Driven', 'Cooperative Game', 'Dice Rolling', 'Narrative Choice / Paragraph', 'Paper-and-Pencil', 'Storytelling']",1479,8.21591,997,4069,41,371,2489,408,48,2.3333
Dale of Merchants 2,2016,2,4,30,30,10,"['Animals', 'Card Game', 'Fantasy', 'Print & Play']","['Deck, Bag, and Pool Building', 'Dice Rolling', 'Hand Management', 'Open Drafting', 'Set Collection', 'Take That']",2292,7.30623,1292,5697,105,125,514,515,51,2.0588
Horseless Carriage,2023,3,5,180,240,14,"['Economic', 'Industry / Manufacturing']","['Modular Board', 'Pattern Building', 'Tech Trees / Tech Tracks', 'Tile Placement', 'Turn Order: Stat-Based']",947,7.97155,1676,2351,66,159,967,272,94,4.2021
Nations: The Dice Game,2014,1,4,20,40,14,"['Ancient', 'Civilization', 'Dice', 'Medieval', 'Renaissance']","['Dice Rolling', 'Events', 'Push Your Luck', 'Re-rolling and Locking', 'Turn Order: Stat-Based', 'Variable Set-up']",5580,6.94298,1066,6040,170,287,1211,1137,237,2.0042
Everdell,2018,1,4,40,80,13,"['Animals', 'Card Game', 'City Building', 'Fantasy']","['Contracts', 'End Game Bonuses', 'Hand Management', 'Income', 'Open Drafting', 'Ownership', 'Set Collection', 'Solo / Solitaire Game', 'Variable Set-up', 'Worker Placement']",47819,8.04831,32,71544,445,1479,17965,6187,1413,2.8061
Arkwright,2014,2,4,120,240,12,"['Economic', 'Industry / Manufacturing']","['Commodity Speculation', 'Investment', 'Simulation', 'Stock Holding', 'Variable Phase Order', 'Worker Placement']",2441,7.805,713,4086,87,350,1587,664,267,4.588
Mansions of Madness,2011,2,5,120,180,13,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Horror', 'Miniatures', 'Murder/Mystery', 'Puzzle']","['Area Movement', 'Dice Rolling', 'Hand Management', 'Modular Board', 'Pick-up and Deliver', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Team-Based Game', 'Variable Player Powers']",13535,7.26598,493,19584,393,321,2916,2456,748,3.246
The Starfarers of Catan,1999,3,4,120,120,12,"['Exploration', 'Negotiation', 'Science Fiction', 'Space Exploration']","['Hexagon Grid', 'Trading']",5288,6.80073,1378,7816,291,209,717,1531,438,2.5799
Stone Age,2008,2,4,60,90,10,"['Dice', 'Economic', 'Prehistoric']","['Contracts', 'Dice Rolling', 'End Game Bonuses', 'Set Collection', 'Turn Order: Progressive', 'Worker Placement']",51350,7.53213,147,55357,595,1534,10344,8581,3001,2.4622
Le Havre: The Inland Port,2012,2,2,30,30,10,"['Economic', 'Industry / Manufacturing']",['Action Points'],3631,6.81477,1484,5614,166,201,690,859,170,2.5
Imaginarium,2018,2,5,90,90,14,['Fantasy'],"['Action Drafting', 'Contracts', 'Set Collection', 'Take That', 'Variable Phase Order']",1939,7.14744,1689,3509,53,111,1101,334,68,2.9265
Mini Rogue,2021,1,2,30,45,12,"['Adventure', 'Fantasy']","['Dice Rolling', 'Push Your Luck', 'Solo / Solitaire Game']",1726,7.61861,1353,4958,79,88,833,406,52,2.0192
Kolejka,2011,2,5,60,60,12,"['Economic', 'Educational', 'Political']","['Hand Management', 'Memory', 'Set Collection', 'Take That', 'Worker Placement']",3684,6.66345,1954,5102,76,203,890,659,198,2.0303
Canopy,2021,1,4,30,30,8,"['Animals', 'Card Game', 'Environmental']","['Open Drafting', 'Push Your Luck', 'Set Collection']",2484,7.41536,1118,6479,64,150,1512,545,83,2
Gravwell: Escape from the 9th Dimension,2013,1,4,20,45,10,"['Card Game', 'Science Fiction']","['Action Queue', 'Bias', 'Open Drafting', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Track Movement']",3606,6.87605,1448,4801,178,143,810,834,119,1.7311
Ride the Rails,2020,3,5,45,60,12,"['Economic', 'Trains', 'Transportation']","['Hexagon Grid', 'Network and Route Building', 'Pick-up and Deliver', 'Stock Holding', 'Turn Order: Stat-Based']",1743,7.19109,1652,3448,93,133,668,336,35,2.2286
Odin's Ravens (Second Edition),2016,2,2,15,30,10,"['Animals', 'Card Game', 'Mythology']","['Hand Management', 'Race', 'Track Movement']",3855,7.00769,1229,7273,120,133,966,709,100,1.2
Qwinto,2015,2,6,15,15,8,"['Dice', 'Number']","['Dice Rolling', 'Paper-and-Pencil', 'Pattern Building']",3351,7.00266,1307,6089,72,80,602,677,90,1.3222
Campy Creatures,2017,2,5,20,30,10,"['Bluffing', 'Card Game', 'Deduction', 'Horror']","['Auction/Bidding', 'Hand Management', 'Set Collection', 'Simultaneous Action Selection']",2489,7.05149,1565,5668,101,74,753,540,52,1.5192
DC Comics Deck-Building Game: Heroes Unite,2014,2,5,45,45,15,"['Card Game', 'Comic Book / Strip']","['Deck, Bag, and Pool Building']",1913,7.39395,1467,4644,69,47,249,352,61,2.1148
Endeavor,2009,3,5,90,90,12,"['Exploration', 'Nautical', 'Renaissance']","['Area Majority / Influence', 'Hand Management', 'Open Drafting', 'Set Collection', 'Tech Trees / Tech Tracks']",9467,7.38384,397,7472,316,349,1655,2103,755,2.9073
Sheriff of Nottingham: 2nd Edition,2020,3,6,60,60,14,"['Bluffing', 'Card Game', 'Humor', 'Medieval', 'Negotiation', 'Novel-based', 'Party Game']","['Bribery', 'Hand Management', 'Open Drafting', 'Role Playing', 'Set Collection']",2015,7.32926,1469,5398,77,95,1078,334,40,1.825
Time's Up!,1999,4,18,90,90,12,"['Humor', 'Party Game']","['Acting', 'Communication Limits', 'Memory', 'Team-Based Game']",5711,7.28692,649,6172,127,102,906,1200,332,1.2048
Perudo,1800,2,6,15,30,8,"[""Children's Game"", 'Movies / TV / Radio theme', 'Party Game']","['Betting and Bluffing', 'Dice Rolling', 'Player Elimination']",14606,6.9063,807,19454,384,139,1233,3963,954,1.2568
Smash Up: Cease and Desist,2016,2,2,45,45,12,"['Card Game', 'Fantasy']","['Area Majority / Influence', 'Card Play Conflict Resolution', 'Deck Construction', 'Hand Management', 'Open Drafting', 'Take That', 'Variable Player Powers', 'Variable Set-up']",1359,7.41342,1799,5666,82,102,508,216,6,2.3333
