Name,Year,min_players,max_players,min_playtime,max_playtime,min_age,category,mechanic,userrated,avg_rate,rank,owned,trading,wanting,wishing,num_comments,num_weights,avg_weight,Description
BattleCON: Devastation of Indines,2013,1,5,45,45,10,"['Card Game', 'Fantasy', 'Fighting']","['Hand Management', 'Point to Point Movement', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Team-Based Game', 'Variable Player Powers']",3244,7.84002,560,5192,243,198,1154,827,160,3.0875,new villain appear lay claim world indin new hero rise challeng battlecon devast indin put control 30 mighti hero dead villain decid fate world battlecon devast indin standalon duel card game design headtohead team play player select charact use uniqu gameplay mechan give edg combat take control guitarplay summon pair tagteam werewolv prodig paladin genius artific charact play style requir new strategi use foundat tactic make new charact easi learn challeng master player move along sevenspacelong board trade blow attempt strike oppon use attack form combin charact uniqu style abil set basic card charact share last player stand win battlecon devast indin play combin battlecon war indin creat even greater pool charact play variant includ game battlequest guid battlequest dungeon guid contain six adventur 3 solo 3 cooper player use battlequest player play alon cooper autom enemi attempt defeat final boss claim victori
Poker,1810,2,10,60,60,12,"['Bluffing', 'Card Game']","['Betting and Bluffing', 'Player Elimination', 'Set Collection']",10677,6.71863,1212,9715,50,8,97,2252,697,2.4218,poker play standard deck 52card sometim joker ad wild card object game win pot contain bet player made deal player dealt card usual reduc poker hand five 5 card bet bluf use round bet squar player conced pot fold bet squar round follow showdown hand fulli reveal one best combin poker hand five 5 card winner follow tabl describ rank standard poker hand five kind wild card use four card rank one wild card eg joker straight flush straight card suit eg k q j 10 spade highest straight flush nomin call royal flush four kind four card rank eg k full hous three kind one rank pair differ rank eg k k flush five card suit eg k q j 9 spade straight five card sequenc rank eg k q j 10 three kind three card rank eg k q two pair two pair differ rank eg k k q one pair pair card rank eg k q j high card high card without higher combin eg k q j 9
Pictures,2019,3,5,20,30,8,"['Deduction', 'Party Game']","['Communication Limits', 'Deduction', 'Pattern Recognition']",2541,7.21218,1254,4256,44,75,691,409,58,1.0172,pictur quickplay famili game simpl rule form imag secret pictur card one set compon either shoelac color cube icon card stick stone build block way player guess imag pictur pull marker bag determin secret pictur card form imag compon way recogniz final guess imag player pictur player get point correct guess player imag player guess imag point win —descript publish
Warfighter: The Tactical Special Forces Card Game,2014,1,6,30,180,0,"['Card Game', 'Modern Warfare', 'Wargame']","['Action Points', 'Campaign / Battle Card Driven', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Simulation', 'Solo / Solitaire Game', 'Variable Player Powers']",1314,7.70181,1667,2753,96,142,650,428,101,2.7228,command world best special forc oper complet vital assault mission around world warfight card game 1 6 player play cooper friend system complet present day squadlevel combat mission start mission select soldier equip himher skill weapon combat gear within mission resourc limit fight way hostil territori engag hostil attempt reach complet mission object everi mission standalon game build soldier select gear run mission within 30 60 minut succeed fail warfight use new combat system take account fire mode select weapon rang run ammo suppress cover dice roll system creat incred deep narrat everi attack elimin hostil gain experi upgun action card
Mare Nostrum: Empires,2016,3,5,90,120,14,"['Ancient', 'Civilization', 'Economic', 'Mythology', 'Wargame']","['Area Movement', 'Dice Rolling', 'Set Collection', 'Trading', 'Variable Player Powers']",4035,7.5294,642,6175,176,180,1112,909,134,2.9627,ancient roman call mediterranean sea mare nostrum latin sea mare nostrum empirebuild game 35 player 26 atlas expans lead individu ancient empir dominion mare nostrum grow fame glori empir expand influenc new provinc extend trade caravan build market found new citi templ recruit hero creat wonder help caus bewar friend may look upon gain envi greed mare nostrum reintroduct academi game asyncron origin 2003 releas updat rule counter map board edit includ mani new compon multipl new way win detail choos empir lead begin three provinc lead caesar rome power legion pericl promin greek statesman orat great babylonian lawgiv healer king hammurabi queen cleopatra egypt whose engin led develop grain storag irrig hannib leader carthaginian whose merchant thrive trade commerc decid grow empir expand trade creat wonder concentr cultur build great pyramid develop strong power militari occupi provinc empir exert polit leadership claim titl trade leader cultur leader militari leader
Tigris & Euphrates,1997,2,4,90,90,12,"['Abstract Strategy', 'Ancient', 'Civilization', 'Territory Building']","['Area Majority / Influence', 'Connections', 'Hand Management', 'Hidden Victory Points', 'Highest-Lowest Scoring', 'Income', 'Set Collection', 'Square Grid', 'Tile Placement']",28102,7.70346,104,30822,598,1508,7276,6999,2745,3.5016,regard mani reiner knizia masterpiec tigri euphrat set ancient fertil crescent player build civil tile placement player given four differ leader farm trade religion govern leader use collect victori point categori howev score end game number point weakest categori encourag player get over special conflict aris civil connect board ie extern conflict one leader type surviv conflict leader also replac within civil intern conflict start mayfair edit 2008 tigri euphrat includ doublesid game board extra compon play advanc version game ziggurat expans initi releas separ item germani alreadi own base game special monument extend across five space board monument built player cross five civil token color discard five token replac ziggurat marker place ziggurat tower upon middl tile five ziggurat marker destroy rule regard monument appli ziggurat monument well king insid kingdom ziggurat get one victori point color choic end turn version tigri euphrat list 24 player other incorrect state theyr 34 player tigri euphrat part sometim call reiner knizia tilelay trilog
Core Space,2019,1,6,45,180,14,"['Adventure', 'Exploration', 'Fighting', 'Miniatures', 'Science Fiction']","['Action Points', 'Cooperative Game', 'Dice Rolling', 'Die Icon Resolution', 'Grid Movement', 'Measurement Movement', 'Modular Board', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Semi-Cooperative Game', 'Solo / Solitaire Game', 'Variable Player Powers', 'Variable Set-up']",955,8.66967,1883,1956,14,167,913,420,30,3.0,core space scienc fiction miniatur board game player take control band trader tri make live danger galaxi hunt purg semisenti race humanoid machin whose sole task harvest world game core space take place detail 3d board trader must explor area fulfil object salvag escap back ship spend earn desperatelyneed repair excit campaign system track crew game game develop skill upgrad equip tell stori core set accommod 12 player game support 6 player use addit trader crew avail separ content 8 trader miniatur crew black maria crew ion hope 9 purg miniatur 3 civilian miniatur 8 plastic crew dashboard 11 charact board 8 class board 1 purg board 2 ship board 1 plastic hostil tracker 7 dice 20 event card 104page rulebook 42 counter 189 plastic peg token pouch 100 equip token final 260cm squar game mat 130 terrain piec build board
The New Era,2011,2,5,60,60,10,"['Card Game', 'City Building', 'Economic', 'Science Fiction']","['Hand Management', 'Open Drafting', 'Turn Order: Progressive', 'Variable Player Powers']",1300,7.48666,1733,1678,111,71,403,311,114,3.4561,four faction grown boundari widen conflict avert blood soon shed mutant union power made rock roll attack faction respond quick new era begin era war new era standalon expans 51st state contain 80 new card new fifth faction hegemoni violent band crimin new rule direct interact allow player invad sign deal oppon locat new option decis open player game aggress even engag 51st state new era anoth portal game postapocalypt world neuroshima new piec awardwin seri contain titl neuroshima hex neuroshima hex babel 13 neuroshima hex duel 51st state neuroshima rpg neuroshima tactic avail polish 2011 new era present highest standard product wooden compon new victori point board polish improv iconographi new era combin 51st state play standalon game integr 51st state
Machi Koro Legacy,2019,2,4,30,45,10,"['City Building', 'Dice']","['Dice Rolling', 'Legacy Game', 'Random Production']",2231,6.9216,1792,5777,71,110,1097,451,40,1.925,machi koro legaci featur gameplay machi koro still roll dice still collect incom still race build landmark — unlock censor start earn littl extra incom censor start explor censor make choic censor censor even arent content win given game still censor set excit censor next one paragraph delet machi koro legaci featur tengam seri tell complet stori set world machi koro player choic creat uniqu gameplay experi —descript publish
Great Western Trail,2016,2,4,75,150,12,"['American West', 'Animals', 'Economic']","['Deck, Bag, and Pool Building', 'Hand Management', 'Ownership', 'Set Collection', 'Track Movement', 'Variable Set-up']",39122,8.22117,15,43978,515,1271,9992,5009,1521,3.7068,america 19th centuri rancher repeat herd cattl texa kansa citi send train earn money victori point needless say time arriv kansa citi want valuabl cattl tow howev great western trail requir keep herd good shape also wise use various build along trail also might good idea hire capabl staff cowboy improv herd craftsmen build build engin import railroad line clever manag herd navig opportun pitfal great western trail sure gain victori point win game —descript publish
Vagrantsong,2022,2,4,45,120,14,"['Adventure', 'Dice', 'Horror', 'Trains']","['Action Points', 'Cooperative Game', 'Dice Rolling', 'Events', 'Grid Movement', 'Narrative Choice / Paragraph', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Storytelling', 'Variable Set-up']",1569,7.67456,1357,4688,97,454,3258,426,67,3.2388,trainhop aboard silver ferryman chasin ’ dream runnin ’ past find welcomin ’ hand white glove stretch skin… fiddl player distanc playin ’ tune ’ aw invit make never wan na leav vagrantsong cooper storydriven boss battler take role vagrant trap supernatur ghost train face ghost linger train call haint adjust playstyl skill junk acquir along way uncov secret silver ferryman spooki challeng adventur 20 scenario vagrantsong ’ campaign player take turn spend 3 coin take action move around train board investig unknown rummag item might help get tight spot addit player spend coin exclus action remind haint lost human hope free spirit ghost train ’ bonechil grip win scenario process care haint bag trick gameplay mechan stop noth make sure player lose human stay aboard forev scenario player moment rest allow opportun chang skill junk card heal vagrant prepar next encount aboard silver ferryman —descript publish
Archaeology: The Card Game,2007,2,4,20,20,8,"['Adventure', 'Ancient', 'Card Game', 'Exploration']","['Market', 'Open Drafting', 'Push Your Luck', 'Set Collection']",3208,6.65943,1945,3768,151,95,429,1072,238,1.3403,discov lost treasur egypt make fortun archaeologist work dig site egyptian desert search right piec complet torn parchment broken pot priceless artifact explor ancient pyramid hope uncov huge stash treasur trade shrewd local marketplac increas valu collect sell treasur museum right time maximum profit bewar desert also danger devast sandstorm throw expedit disarray cun thiev lurk around dig site readi steal prize discoveri aim game make money find treasur sell museum player find treasur dig dig site draw pile card set treasur collect cours game player choos best time sell museum player sell treasur set museum valu set credit player longer subject loss theft player find map dig site use explor ancient pyramid treasur hidden player trade treasur local marketplac increas valu collect player meet thief dig site use thief steal treasur anoth player sandstorm hit player affect may lose treasur player money end game winner
The Isle of Cats,2019,1,4,60,90,8,"['Animals', 'Fantasy', 'Nautical', 'Puzzle']","['Closed Drafting', 'Grid Coverage', 'Hidden Victory Points', 'Income', 'Open Drafting', 'Pattern Building', 'Set Collection', 'Solo / Solitaire Game', 'Square Grid', 'Tile Placement', 'Turn Order: Stat-Based']",19443,7.73945,118,33713,327,668,6512,3061,464,2.3513,isl cat competit mediumweight carddraft polyomino catplac board game 14 player 6 expans game citizen squall end rescu mission isl cat must rescu mani cat possibl evil lord vesh arriv cat repres uniqu tile belong famili must find way make fit boat keep famili togeth also need manag resourc explor island draft card rescu cat find treasur befriend oshax studi ancient lesson lesson collect give anoth person way score point 38 uniqu lesson avail complet lesson fill boat keep cat famili togeth score point player point five round win note isl cat kickstart edit compil item consist isl cat base game isl cat kickstart pack avail separ item list individu bgg databas
Ticket to Ride: Märklin,2006,2,5,30,60,8,"['Trains', 'Transportation']","['Hand Management', 'Network and Route Building', 'Open Drafting', 'Point to Point Movement', 'Set Collection']",9103,7.41214,401,11632,170,450,1689,2193,853,2.2427,ticket ride märklin third instal day wonder bestsel ticket ride seri board märklin base map germani individu card deck depict differ märklin train model dvd introduc player märklin line model train includ edit dvd longer includ recent run märklin heavier version ttr seri allow player travel citi citi also citi countri new mechan also introduc form passeng merchandis token game setup seri merchandis valu worth victori point place nomin citi valu token diminish multipl token present within singl citi requir player move quick captur higher valu token token collect player place passeng 3 per player achiev end turn player lay train enter citi question passeng play player forfeit regular turn move passeng move along player train network come cost allow player take top merchandis token citi pass passeng also move along section track featur player train passeng card must paid time occur player complet destin ticket receiv 10 point bonus instead base game longest rout bonus
Treasure Island,2018,2,5,45,45,10,"['Bluffing', 'Deduction', 'Exploration', 'Novel-based', 'Pirates']","['Deduction', 'Hand Management', 'Line Drawing', 'Measurement Movement', 'Secret Unit Deployment', 'Semi-Cooperative Game', 'Storytelling', 'Team-Based Game', 'Variable Player Powers']",5954,7.24265,699,10466,206,432,3432,928,107,2.243,long john silver crew commit mutini corner tie round round question locat treasur explor island follow direct — perhap misdirect know old sea dog sure plan escap definit tri get treasur back treasur island game bluf adventur one player embodi long john tri mislead other search treasur hunt reach climax long john escap make final run get booti
FUSE,2015,1,5,10,10,10,"['Action / Dexterity', 'Dice', 'Real-time', 'Science Fiction']","['Cooperative Game', 'Dice Rolling', 'Die Icon Resolution', 'Elapsed Real Time Ending', 'Open Drafting', 'Pattern Building', 'Real-Time', 'Solo / Solitaire Game']",8491,7.00817,818,12716,329,227,1741,1644,163,1.6564,intrud made way onto ship goal total destruct twenti bomb detect onboard countdown begun elit bomb defus team bdt call upon neutral threat team take work intricaci bomb defus time fuse realtim cooper game employ 25 dice 65 card game set tenminut timer player must work togeth ten minut defus bomb bomb repres card need certain combin dice order defus player draw number dice equal number player bag roll player must decid get dice player must take one one simpl task maxim potenti dice among player problem ten minut twenti bomb ship dont time think everi option bare time yell grandma reach red die need game selfdestruct ten minut
Clank! Legacy: Acquisitions Incorporated,2019,2,4,90,120,13,"['Adventure', 'Fantasy', 'Miniatures']","['Deck, Bag, and Pool Building', 'Delayed Purchase', 'End Game Bonuses', 'Events', 'Legacy Game', 'Map Addition', 'Movement Points', 'Narrative Choice / Paragraph', 'Once-Per-Game Abilities', 'Open Drafting', 'Pick-up and Deliver', 'Player Elimination', 'Point to Point Movement', 'Push Your Luck', 'Scenario / Mission / Campaign Game', 'Set Collection', 'Variable Player Powers', 'Variable Set-up']",8423,8.56096,24,15280,87,624,5494,1312,124,2.7339,clank legaci acquisit incorpor extend deckbuild fun clank legacystyl gameplay found franchis legendari adventur compani acquisit incorpor shepherd fledgl treasurehunt immort corpor glori cours multipl game game board deck world chang play creat uniqu campaign tailor adventur parti cun bold import readi —descript publish
Age of Empires III: The Age of Discovery,2007,2,5,90,120,10,"['Civilization', 'Exploration', 'Renaissance', 'Video Game Theme']","['Area Majority / Influence', 'Set Collection', 'Turn Order: Claim Action', 'Worker Placement', 'Worker Placement, Different Worker Types']",10202,7.51547,296,8535,260,406,2244,2640,1057,3.1258,design glenn drover boardgam allow revisit age explor discoveri take role coloni power seek fame glori rich new world proceed three age launch expedit discoveri colon region expand merchant fleet build capitol build give nation distinct advantag develop economi necessari declar war though origin publish 5 player game playabl 6 origin compon board configur addit set figur anoth color origin offer expans incent preorder game 6 player expans also glenn drover empir builder expans along new capit build nation advantag tile confus age discoveri
Ave Caesar,1989,2,6,30,30,12,"['Ancient', 'Miniatures', 'Racing']","['Hand Management', 'Race', 'Track Movement']",4723,6.63295,1671,4687,124,270,860,1576,459,1.3595,set roman stadium circus maximus player use card move chariot around quasivari track track bottleneck lanechang restrict make race interest racer similar detroitcleveland grand prix daytona 500 player requir race three lap must stop hail caesar finish pit stop game light wast mani move take longer outsiderout corner may enough movement finish race later game revamp ausgebremst notabl chang modular board option reduc luck new cafe gamespro ludo edit 2 differ track compar ravensburg edit 2 track variant side board
ICECOOL2,2018,2,4,30,30,6,"['Action / Dexterity', 'Animals', ""Children's Game""]","['Area Movement', 'Flicking', 'Take That']",1702,7.17994,1707,4093,42,157,712,342,26,1.0769,icecool2 standalon game expans icecool play icecool2 differ origin game thank task 1point card fishmov power 2point card option tournament score combin icecool set get multipl new layout new game mode call race game playabl eight player chanc creat new layout
Odin's Ravens,2002,2,2,30,30,10,"['Animals', 'Card Game', 'Mythology']","['Hand Management', 'Map Addition', 'Race', 'Track Movement']",3817,6.66069,1806,5108,189,205,791,1410,390,1.6795,morn odin send raven hugin munin race world midgard report back seen first return win odin favor cun corvid trick store two brilliant bird middl earth twoplay card game odin raven two raven race across separ track track compris dominostyl landscap card featur differ type land player deck card use match land type front raven order advanc raven toward end flight path odin loki osprey edit card allow player take special action rearrang track landscap card imped player raven first edit odin raven player creat person auxiliari stack play play card hand set play futur game last multipl round round end raven reach end flight path raven player score point equal distanc separ two raven also odin token slow whichev raven front addit whoever play card magic way round – separ play area player may play particular type card – win three point player accumul twelv point player win odin raven second edit transform game singl race across longer landscap player draw limit number card turn either loki deck land deck play mani card desir whoever reach end world first win
Calimala,2017,3,5,75,75,10,"['Economic', 'Industry / Manufacturing', 'Medieval', 'Renaissance', 'Transportation', 'Travel']","['Area Majority / Influence', 'End Game Bonuses', 'Modular Board', 'Order Counters', 'Variable Set-up', 'Worker Placement']",2238,7.20232,1368,2635,89,222,959,519,70,2.7857,art di calimala — guild cloth finish merchant foreign cloth — one greater guild florenc arrog civic power republ florenc late middl age woolen cloth trade engin drove citi ’ economi member calimala elit florenc throughout long histori art di calimala supervis execut artist architectur work florentin guild perform activ calimala distinguish guild number prestig project site administ includ construct decor major church citi player calimala cloth merchant mediev florenc number trust employe assign various street within citi carri action street connect two place particular action taken take action player produc deliv cloth contribut construct decor various build across citi employe stay assign place carri action whenev street activ eventu promot citi council trigger score phase depend number player player number action disc turn order put one space two action perform action activ disc space fourth disc place action space lowest one promot citi council trigger score last action disc place last score phase council trigger game end posit action space sequenc score phase vari game game make game differ secret score object action card add uncertainti
The Speicherstadt,2010,2,5,45,45,8,['Economic'],"['Auction/Bidding', 'Auction: Dutch Priority', 'Set Collection']",5049,7.02064,1008,4954,173,165,674,1251,361,2.2687,speicherstadt auction card game player compet victori point come main contract set resourc special card like collect set 14 ident count offic port reward collect ship card etc game built two core concept 1 player bid card build tower meepl meepl tower increas cost card player main mechan game player must consid bid place meepl certain card use meepl make other pay import player make three bid round 2 player punish negat point collect firemen card thus ignor secur may cost player victori mani player punish mechan consid trademark author stefan feld deck divid four season winter spring summer autumn later season power card appear player need think ahead manag resourc promot blurb publish hamburg around 1900 gate world within harbour stretch uniqu complex storehous speicherstadt network canal bridg hous termin spice coffe tea carpet world one hamburg´ wholesal heyday speicherstadt acquir shipload storehous expens cours like make profit sell make best deal within year suppli client right good winner game bewar sudden fire caus heavi loss might advis invest fire protect earli play speicherstadt thrill simpl origin mechan acquir desir action card
Fields of Fire,2008,1,1,60,300,12,"['Korean War', 'Vietnam War', 'Wargame', 'World War II']","['Campaign / Battle Card Driven', 'Modular Board', 'Solo / Solitaire Game']",1263,7.86399,1521,3629,97,190,942,637,241,4.2407,field fire solitair game command rifl compani world war ii present day game differ mani tactic game diceless card base two deck use play terrain deck base specif region use build map various mission compani must perform action deck serv mani purpos control combat command control various activ attempt unit compani counter repres headquart element squad weapon team forward observ individu vehicl helicopt singl game mission sever mission histor campaign strung togeth player manag experi replac mission play 1 – 4 hour game base three actual campaign experienc unit 9th us infantri regiment world war ii korea vietnam “ keep fire ” motto 9th infantri regiment known “ manchus ” servic boxer rebellion —descript publish
Puerto Rico,2002,3,5,90,150,12,"['City Building', 'Economic', 'Farming']","['Action Drafting', 'End Game Bonuses', 'Follow', 'Hidden Victory Points', 'Increase Value of Unchosen Resources', 'Turn Order: Progressive', 'Variable Phase Order']",69567,7.92791,41,80078,1432,961,9617,12683,6185,3.2719,puerto rico player assum role coloni governor island puerto rico aim game amass victori point ship good europ construct build player use separ small board space citi build plantat resourc share player three ship trade hous suppli resourc doubloon resourc cycl game player grow crop exchang point doubloon doubloon use buy build allow player produc crop give abil build plantat work unless man colonist round player take turn select role card tabl trader builder role chosen everi player get take action appropri role player select role also receiv small privileg exampl choos builder role allow player construct build player chose role may discount turn unus role gain doubloon bonus end turn next player choos role get keep doubloon bonus associ encourag player make use role throughout typic cours game puerto rico use variabl phase order mechan governor token pass clockwis next player conclus turn player token begin round choos role take first action player earn victori point own build ship good man larg build player accumul ship chip kept face come denomin one five prevent player abl determin exact score anoth player good doubloon place clear view player total alway request player game enter later stage unknown quantiti ship token denomin requir player consid option choos role end game 2011 most afterward puerto rico publish includ puerto rico expans – new build puerto rico expans ii – nobl version includ game entri puerto rico regular game entri puerto rico edit puerto rico list player count 25 instead 35 includ variant rule game two player
The Godfather: Corleone's Empire,2017,2,5,60,90,14,"['Economic', 'Mafia', 'Movies / TV / Radio theme']","['Area Majority / Influence', 'Auction/Bidding', 'Hand Management', 'Memory', 'Open Drafting', 'Take That', 'Variable Player Powers', 'Worker Placement', 'Worker Placement, Different Worker Types']",7376,7.52891,394,10881,295,227,2002,1217,182,2.6264,design eric lang known dude map game describ godfath corleon empir — standalon big box board game highqual miniatur — thug map short game streamlin confront worker placement game fill murder intrigu play compet mafia famili vy econom control organ crime network new york citi deploy thug wife heir board shake busi engag areacontrol turf war money racket contract special advantag union boss repres card hand hand size limit choos extra card pay tribut end five round end game though cash matter whoever money win game also featur drivebi shoot enemi token remov board place facedown river
Exodus: Proxima Centauri,2012,2,6,180,180,14,"['Civilization', 'Fighting', 'Science Fiction', 'Space Exploration', 'Wargame']","['Area Majority / Influence', 'Area Movement', 'Auction/Bidding', 'Dice Rolling', 'Follow', 'Hexagon Grid', 'Modular Board', 'Simultaneous Action Selection', 'Take That', 'Tech Trees / Tech Tracks', 'Trading', 'Voting']",1697,7.15925,1795,3233,174,217,1214,577,108,3.5926,devast nuclear war six human faction seek shelter centauri system verg extinct human save superior civil alleg centaurian faction given fresh start new planet thus exodus human seem end planet orbit star call proxima centauri centaurian announc departur struggl power commenc exodus proxima centauri six faction fight domin epic empirebuild game strive build new human empir ash centaurian civil player build space fleet custom ship conquer new planet fight centaurian resist player negoti vote polit decis research centaurian technolog much exodus 4x game featur tech tree blind bid polit law resolut hidden movement resourc manag logist engin build exodus game great encourag reward combat npcs playersboth ship weapon mass destruct interact setup exodus nsknnet
